"","CountryName","CountryCode","Year","AG.LND.FRST.ZS","EN.FSH.THRD.NO","EN.HPT.THRD.NO","EN.MAM.THRD.NO"
"466","High income: nonOECD","NOC",2010,38.68023,NA,NA,NA
"467","High income: nonOECD","NOC",2011,38.65969,NA,NA,NA
"468","High income: nonOECD","NOC",2012,38.63912,NA,NA,NA
"469","High income: nonOECD","NOC",2013,38.61851,NA,NA,NA
"470","High income: nonOECD","NOC",2015,NA,1104,1153,320
"471","High income: OECD","OEC",2010,31.35264,NA,NA,NA
"472","High income: OECD","OEC",2011,31.38818,NA,NA,NA
"473","High income: OECD","OEC",2012,31.42609,NA,NA,NA
"474","High income: OECD","OEC",2013,31.46138,NA,NA,NA
"475","High income: OECD","OEC",2015,NA,1207,1271,293
"476","Honduras","HND",2010,46.40272,NA,NA,NA
"477","Honduras","HND",2011,45.33024,NA,NA,NA
"478","Honduras","HND",2012,44.25775,NA,NA,NA
"479","Honduras","HND",2013,43.18527,NA,NA,NA
"480","Honduras","HND",2015,NA,42,121,8
"481","Hong Kong SAR, China","HKG",2015,NA,13,9,2
"482","Hungary","HUN",2010,22.60024,NA,NA,NA
"483","Hungary","HUN",2011,22.65105,NA,NA,NA
"484","Hungary","HUN",2012,22.70187,NA,NA,NA
"485","Hungary","HUN",2013,22.75268,NA,NA,NA
"486","Hungary","HUN",2015,NA,9,12,2
"487","Iceland","ISL",2010,0.4259352,NA,NA,NA
"488","Iceland","ISL",2011,0.4389027,NA,NA,NA
"489","Iceland","ISL",2012,0.4518703,NA,NA,NA
"490","Iceland","ISL",2013,0.4648379,NA,NA,NA
"491","Iceland","ISL",2015,NA,16,0,6
"492","India","IND",2010,23.4731,NA,NA,NA
"493","India","IND",2011,23.53311,NA,NA,NA
"494","India","IND",2012,23.59311,NA,NA,NA
"495","India","IND",2013,23.65311,NA,NA,NA
"496","India","IND",2015,NA,216,385,93
"497","Indonesia","IDN",2010,52.12716,NA,NA,NA
"498","Indonesia","IDN",2011,51.74937,NA,NA,NA
"499","Indonesia","IDN",2012,51.37157,NA,NA,NA
"500","Indonesia","IDN",2013,50.99378,NA,NA,NA
"501","Indonesia","IDN",2015,NA,150,426,185
"502","Iran, Islamic Rep.","IRN",2010,6.565337,NA,NA,NA
"503","Iran, Islamic Rep.","IRN",2011,6.565337,NA,NA,NA
"504","Iran, Islamic Rep.","IRN",2012,6.565337,NA,NA,NA
"505","Iran, Islamic Rep.","IRN",2013,6.565337,NA,NA,NA
"506","Iran, Islamic Rep.","IRN",2015,NA,39,3,16
"507","Iraq","IRQ",2010,1.899521,NA,NA,NA
"508","Iraq","IRQ",2011,1.899521,NA,NA,NA
"509","Iraq","IRQ",2012,1.899521,NA,NA,NA
"510","Iraq","IRQ",2013,1.899521,NA,NA,NA
"511","Iraq","IRQ",2015,NA,17,1,13
"512","Ireland","IRL",2010,10.53317,NA,NA,NA
"513","Ireland","IRL",2011,10.61562,NA,NA,NA
"514","Ireland","IRL",2012,10.69807,NA,NA,NA
"515","Ireland","IRL",2013,10.78037,NA,NA,NA
"516","Ireland","IRL",2015,NA,27,3,5
"517","Isle of Man","IMY",2010,6.070175,NA,NA,NA
"518","Isle of Man","IMY",2011,6.070175,NA,NA,NA
"519","Isle of Man","IMY",2012,6.070175,NA,NA,NA
"520","Isle of Man","IMY",2013,6.070175,NA,NA,NA
"521","Isle of Man","IMY",2015,NA,2,0,1
"522","Israel","ISR",2010,7.116451,NA,NA,NA
"523","Israel","ISR",2011,7.218115,NA,NA,NA
"524","Israel","ISR",2012,7.319778,NA,NA,NA
"525","Israel","ISR",2013,7.421442,NA,NA,NA
"526","Israel","ISR",2015,NA,42,0,14
"527","Italy","ITA",2010,30.69287,NA,NA,NA
"528","Italy","ITA",2011,30.87577,NA,NA,NA
"529","Italy","ITA",2012,31.05868,NA,NA,NA
"530","Italy","ITA",2013,31.24159,NA,NA,NA
"531","Italy","ITA",2015,NA,51,74,7
"532","Jamaica","JAM",2010,31.1265,NA,NA,NA
"533","Jamaica","JAM",2011,31.09141,NA,NA,NA
"534","Jamaica","JAM",2012,31.05633,NA,NA,NA
"535","Jamaica","JAM",2013,31.02124,NA,NA,NA
"536","Jamaica","JAM",2015,NA,30,214,6
"537","Japan","JPN",2010,68.48443,NA,NA,NA
"538","Japan","JPN",2011,68.4791,NA,NA,NA
"539","Japan","JPN",2012,68.47378,NA,NA,NA
"540","Japan","JPN",2013,68.46939,NA,NA,NA
"541","Japan","JPN",2015,NA,74,24,27
"542","Jordan","JOR",2010,1.09822,NA,NA,NA
"543","Jordan","JOR",2011,1.09822,NA,NA,NA
"544","Jordan","JOR",2012,1.09822,NA,NA,NA
"545","Jordan","JOR",2013,1.09822,NA,NA,NA
"546","Jordan","JOR",2015,NA,13,1,12
"547","Kazakhstan","KAZ",2010,1.225692,NA,NA,NA
"548","Kazakhstan","KAZ",2011,1.225692,NA,NA,NA
"549","Kazakhstan","KAZ",2012,1.225692,NA,NA,NA
"550","Kazakhstan","KAZ",2013,1.225692,NA,NA,NA
"551","Kazakhstan","KAZ",2015,NA,14,16,15
"552","Kenya","KEN",2010,7.432266,NA,NA,NA
"553","Kenya","KEN",2011,7.496574,NA,NA,NA
"554","Kenya","KEN",2012,7.560881,NA,NA,NA
"555","Kenya","KEN",2013,7.625189,NA,NA,NA
"556","Kenya","KEN",2015,NA,70,222,30
"557","Kiribati","KIR",2010,15,NA,NA,NA
"558","Kiribati","KIR",2011,15,NA,NA,NA
"559","Kiribati","KIR",2012,15,NA,NA,NA
"560","Kiribati","KIR",2013,15,NA,NA,NA
"561","Kiribati","KIR",2015,NA,12,0,1
"562","Korea, Dem. Rep.","PRK",2010,47.05589,NA,NA,NA
"563","Korea, Dem. Rep.","PRK",2011,46.00116,NA,NA,NA
"564","Korea, Dem. Rep.","PRK",2012,44.94643,NA,NA,NA
"565","Korea, Dem. Rep.","PRK",2013,43.8917,NA,NA,NA
"566","Korea, Dem. Rep.","PRK",2015,NA,17,8,9
"567","Korea, Rep.","KOR",2010,63.99259,NA,NA,NA
"568","Korea, Rep.","KOR",2011,63.91443,NA,NA,NA
"569","Korea, Rep.","KOR",2012,63.75758,NA,NA,NA
"570","Korea, Rep.","KOR",2013,63.60372,NA,NA,NA
"571","Korea, Rep.","KOR",2015,NA,24,8,10
"572","Kuwait","KWT",2010,0.3507295,NA,NA,NA
"573","Kuwait","KWT",2011,0.3507295,NA,NA,NA
"574","Kuwait","KWT",2012,0.3507295,NA,NA,NA
"575","Kuwait","KWT",2013,0.3507295,NA,NA,NA
"576","Kuwait","KWT",2015,NA,12,0,5
"577","Kyrgyz Republic","KGZ",2010,3.529718,NA,NA,NA
"578","Kyrgyz Republic","KGZ",2011,3.488008,NA,NA,NA
"579","Kyrgyz Republic","KGZ",2012,3.446298,NA,NA,NA
"580","Kyrgyz Republic","KGZ",2013,3.404588,NA,NA,NA
"581","Kyrgyz Republic","KGZ",2015,NA,3,14,5
"582","Lao PDR","LAO",2010,77.19047,NA,NA,NA
"583","Lao PDR","LAO",2011,78.0101,NA,NA,NA
"584","Lao PDR","LAO",2012,78.82972,NA,NA,NA
"585","Lao PDR","LAO",2013,79.64935,NA,NA,NA
"586","Lao PDR","LAO",2015,NA,55,41,45
"587","Latin America & Caribbean (all income levels)","LCN",2010,46.80945,NA,NA,NA
"588","Latin America & Caribbean (all income levels)","LCN",2011,46.70086,NA,NA,NA
"589","Latin America & Caribbean (all income levels)","LCN",2012,46.59224,NA,NA,NA
"590","Latin America & Caribbean (all income levels)","LCN",2013,46.48364,NA,NA,NA
"591","Latin America & Caribbean (all income levels)","LCN",2015,NA,1527,5008,640
"592","Latin America & Caribbean (developing only)","LAC",2010,54.45104,NA,NA,NA
"593","Latin America & Caribbean (developing only)","LAC",2011,54.319,NA,NA,NA
"594","Latin America & Caribbean (developing only)","LAC",2012,54.18693,NA,NA,NA
"595","Latin America & Caribbean (developing only)","LAC",2013,54.05489,NA,NA,NA
"596","Latin America & Caribbean (developing only)","LAC",2015,NA,990,4639,504
"597","Latvia","LVA",2010,53.88817,NA,NA,NA
"598","Latvia","LVA",2011,53.92926,NA,NA,NA
"599","Latvia","LVA",2012,53.95304,NA,NA,NA
"600","Latvia","LVA",2013,53.9508,NA,NA,NA
"601","Latvia","LVA",2015,NA,6,1,1
"602","Least developed countries: UN classification","LDC",2010,27.77124,NA,NA,NA
"603","Least developed countries: UN classification","LDC",2011,27.29312,NA,NA,NA
"604","Least developed countries: UN classification","LDC",2012,27.17046,NA,NA,NA
"605","Least developed countries: UN classification","LDC",2013,27.04771,NA,NA,NA
"606","Least developed countries: UN classification","LDC",2015,NA,1601,2414,904
"607","Lebanon","LBN",2010,13.38221,NA,NA,NA
"608","Lebanon","LBN",2011,13.39003,NA,NA,NA
"609","Lebanon","LBN",2012,13.39785,NA,NA,NA
"610","Lebanon","LBN",2013,13.40567,NA,NA,NA
"611","Lebanon","LBN",2015,NA,27,5,9
"612","Lesotho","LSO",2010,1.449275,NA,NA,NA
"613","Lesotho","LSO",2011,1.482213,NA,NA,NA
"614","Lesotho","LSO",2012,1.515152,NA,NA,NA
"615","Lesotho","LSO",2013,1.54809,NA,NA,NA
"616","Lesotho","LSO",2015,NA,1,4,2
"617","Liberia","LBR",2010,44.94394,NA,NA,NA
"618","Liberia","LBR",2011,44.63248,NA,NA,NA
"619","Liberia","LBR",2012,44.32101,NA,NA,NA
"620","Liberia","LBR",2013,44.00955,NA,NA,NA
"621","Liberia","LBR",2015,NA,62,50,24
"622","Libya","LBY",2010,0.1233277,NA,NA,NA
"623","Libya","LBY",2011,0.1233277,NA,NA,NA
"624","Libya","LBY",2012,0.1233277,NA,NA,NA
"625","Libya","LBY",2013,0.1233277,NA,NA,NA
"626","Libya","LBY",2015,NA,32,3,11
"627","Liechtenstein","LIE",2010,43.125,NA,NA,NA
"628","Liechtenstein","LIE",2011,43.125,NA,NA,NA
"629","Liechtenstein","LIE",2012,43.125,NA,NA,NA
"630","Liechtenstein","LIE",2013,43.125,NA,NA,NA
"631","Liechtenstein","LIE",2015,NA,0,0,0
"632","Lithuania","LTU",2010,34.62306,NA,NA,NA
"633","Lithuania","LTU",2011,34.65552,NA,NA,NA
"634","Lithuania","LTU",2012,34.68743,NA,NA,NA
"635","Lithuania","LTU",2013,34.71879,NA,NA,NA
"636","Lithuania","LTU",2015,NA,6,2,2
"637","Low & middle income","LMY",2010,28.25326,NA,NA,NA
"638","Low & middle income","LMY",2011,28.10439,NA,NA,NA
"639","Low & middle income","LMY",2012,28.05169,NA,NA,NA
"640","Low & middle income","LMY",2013,27.99889,NA,NA,NA
"641","Low & middle income","LMY",2015,NA,5083,12224,2618
"642","Low income","LIC",2010,28.28246,NA,NA,NA
"643","Low income","LIC",2011,28.13003,NA,NA,NA
"644","Low income","LIC",2012,27.97814,NA,NA,NA
"645","Low income","LIC",2013,27.82624,NA,NA,NA
"646","Low income","LIC",2015,NA,1132,1898,623
"647","Lower middle income","LMC",2010,27.10368,NA,NA,NA
"648","Lower middle income","LMC",2011,26.65421,NA,NA,NA
"649","Lower middle income","LMC",2012,26.55722,NA,NA,NA
"650","Lower middle income","LMC",2013,26.46014,NA,NA,NA
"651","Lower middle income","LMC",2015,NA,1909,3981,1079
"652","Luxembourg","LUX",2010,33.4749,NA,NA,NA
"653","Luxembourg","LUX",2011,33.4749,NA,NA,NA
"654","Luxembourg","LUX",2012,33.4749,NA,NA,NA
"655","Luxembourg","LUX",2013,33.4749,NA,NA,NA
"656","Luxembourg","LUX",2015,NA,1,0,0
"657","Macao SAR, China","MAC",2015,NA,5,0,0
"658","Macedonia, FYR","MKD",2010,39.57177,NA,NA,NA
"659","Macedonia, FYR","MKD",2011,39.57177,NA,NA,NA
"660","Macedonia, FYR","MKD",2012,39.57177,NA,NA,NA
"661","Macedonia, FYR","MKD",2013,39.57177,NA,NA,NA
"662","Macedonia, FYR","MKD",2015,NA,13,0,5
"663","Madagascar","MDG",2010,21.58579,NA,NA,NA
"664","Madagascar","MDG",2011,21.54883,NA,NA,NA
"665","Madagascar","MDG",2012,21.52133,NA,NA,NA
"666","Madagascar","MDG",2013,21.49364,NA,NA,NA
"667","Madagascar","MDG",2015,NA,87,540,119
"668","Malawi","MWI",2010,34.3339,NA,NA,NA
"669","Malawi","MWI",2011,34.14298,NA,NA,NA
"670","Malawi","MWI",2012,33.95206,NA,NA,NA
"671","Malawi","MWI",2013,33.76114,NA,NA,NA
"672","Malawi","MWI",2015,NA,98,25,8
"673","Malaysia","MYS",2010,67.3383,NA,NA,NA
"674","Malaysia","MYS",2011,67.38152,NA,NA,NA
"675","Malaysia","MYS",2012,67.42475,NA,NA,NA
"676","Malaysia","MYS",2013,67.46797,NA,NA,NA
"677","Malaysia","MYS",2015,NA,75,721,70
"678","Maldives","MDV",2010,3.333333,NA,NA,NA
"679","Maldives","MDV",2011,3.333333,NA,NA,NA
"680","Maldives","MDV",2012,3.333333,NA,NA,NA
"681","Maldives","MDV",2013,3.333333,NA,NA,NA
"682","Maldives","MDV",2015,NA,19,0,2
"683","Mali","MLI",2010,4.187872,NA,NA,NA
"684","Mali","MLI",2011,4.123128,NA,NA,NA
"685","Mali","MLI",2012,4.058384,NA,NA,NA
"686","Mali","MLI",2013,3.99364,NA,NA,NA
"687","Mali","MLI",2015,NA,2,8,12
"688","Malta","MLT",2010,1.09375,NA,NA,NA
"689","Malta","MLT",2011,1.09375,NA,NA,NA
"690","Malta","MLT",2012,1.09375,NA,NA,NA
"691","Malta","MLT",2013,1.09375,NA,NA,NA
"692","Malta","MLT",2015,NA,22,4,2
"693","Marshall Islands","MHL",2010,70.22222,NA,NA,NA
"694","Marshall Islands","MHL",2011,70.22222,NA,NA,NA
"695","Marshall Islands","MHL",2012,70.22222,NA,NA,NA
"696","Marshall Islands","MHL",2013,70.22222,NA,NA,NA
"697","Marshall Islands","MHL",2015,NA,14,0,2
"698","Mauritania","MRT",2010,0.2347919,NA,NA,NA
"699","Mauritania","MRT",2011,0.2313961,NA,NA,NA
"700","Mauritania","MRT",2012,0.2280004,NA,NA,NA
"701","Mauritania","MRT",2013,0.2246046,NA,NA,NA
"702","Mauritania","MRT",2015,NA,43,0,16
"703","Mauritius","MUS",2010,18.91626,NA,NA,NA
"704","Mauritius","MUS",2011,18.93596,NA,NA,NA
"705","Mauritius","MUS",2012,18.95567,NA,NA,NA
"706","Mauritius","MUS",2013,18.97537,NA,NA,NA
"707","Mauritius","MUS",2015,NA,18,90,7
"708","Mexico","MEX",2010,34.20767,NA,NA,NA
"709","Mexico","MEX",2011,34.16055,NA,NA,NA
"710","Mexico","MEX",2012,34.11343,NA,NA,NA
"711","Mexico","MEX",2013,34.06631,NA,NA,NA
"712","Mexico","MEX",2015,NA,179,382,101
"713","Micronesia, Fed. Sts.","FSM",2010,91.61429,NA,NA,NA
"714","Micronesia, Fed. Sts.","FSM",2011,91.65714,NA,NA,NA
"715","Micronesia, Fed. Sts.","FSM",2012,91.68571,NA,NA,NA
"716","Micronesia, Fed. Sts.","FSM",2013,91.72857,NA,NA,NA
"717","Micronesia, Fed. Sts.","FSM",2015,NA,21,4,5
"718","Middle East & North Africa (all income levels)","MEA",2010,2.058611,NA,NA,NA
"719","Middle East & North Africa (all income levels)","MEA",2011,2.059834,NA,NA,NA
"720","Middle East & North Africa (all income levels)","MEA",2012,2.061058,NA,NA,NA
"721","Middle East & North Africa (all income levels)","MEA",2013,2.062282,NA,NA,NA
"722","Middle East & North Africa (all income levels)","MEA",2015,NA,575,259,203
"723","Middle East & North Africa (developing only)","MNA",2010,2.508156,NA,NA,NA
"724","Middle East & North Africa (developing only)","MNA",2011,2.509369,NA,NA,NA
"725","Middle East & North Africa (developing only)","MNA",2012,2.510581,NA,NA,NA
"726","Middle East & North Africa (developing only)","MNA",2013,2.511794,NA,NA,NA
"727","Middle East & North Africa (developing only)","MNA",2015,NA,406,246,152
"728","Middle income","MIC",2010,28.24688,NA,NA,NA
"729","Middle income","MIC",2011,28.0988,NA,NA,NA
"730","Middle income","MIC",2012,28.06773,NA,NA,NA
"731","Middle income","MIC",2013,28.03656,NA,NA,NA
"732","Middle income","MIC",2015,NA,3951,10326,1995
"733","Moldova","MDA",2010,11.75038,NA,NA,NA
"734","Moldova","MDA",2011,11.89041,NA,NA,NA
"735","Moldova","MDA",2012,12.02678,NA,NA,NA
"736","Moldova","MDA",2013,12.15937,NA,NA,NA
"737","Moldova","MDA",2015,NA,8,2,4
"738","Monaco","MCO",2010,0,NA,NA,NA
"739","Monaco","MCO",2015,NA,15,0,2
"740","Mongolia","MNG",2010,8.39311,NA,NA,NA
"741","Mongolia","MNG",2011,8.330493,NA,NA,NA
"742","Mongolia","MNG",2012,8.267875,NA,NA,NA
"743","Mongolia","MNG",2013,8.205258,NA,NA,NA
"744","Mongolia","MNG",2015,NA,2,0,10
"745","Montenegro","MNE",2010,61.48699,NA,NA,NA
"746","Montenegro","MNE",2011,61.48699,NA,NA,NA
"747","Montenegro","MNE",2012,61.48699,NA,NA,NA
"748","Montenegro","MNE",2013,61.48699,NA,NA,NA
"749","Montenegro","MNE",2015,NA,32,2,6
"750","Morocco","MAR",2010,12.70894,NA,NA,NA
"751","Morocco","MAR",2011,12.69102,NA,NA,NA
"752","Morocco","MAR",2012,12.67309,NA,NA,NA
"753","Morocco","MAR",2013,12.65516,NA,NA,NA
"754","Morocco","MAR",2015,NA,54,36,16
"755","Mozambique","MOZ",2010,49.55874,NA,NA,NA
"756","Mozambique","MOZ",2011,49.29627,NA,NA,NA
"757","Mozambique","MOZ",2012,49.0338,NA,NA,NA
"758","Mozambique","MOZ",2013,48.77133,NA,NA,NA
"759","Mozambique","MOZ",2015,NA,63,84,13
"760","Myanmar","MMR",2010,48.6376,NA,NA,NA
"761","Myanmar","MMR",2011,47.79899,NA,NA,NA
"762","Myanmar","MMR",2012,46.97267,NA,NA,NA
"763","Myanmar","MMR",2013,46.14105,NA,NA,NA
"764","Myanmar","MMR",2015,NA,43,61,46
"765","Namibia","NAM",2010,8.854717,NA,NA,NA
"766","Namibia","NAM",2011,8.764591,NA,NA,NA
"767","Namibia","NAM",2012,8.674465,NA,NA,NA
"768","Namibia","NAM",2013,8.584338,NA,NA,NA
"769","Namibia","NAM",2015,NA,33,28,13
"770","Nepal","NPL",2010,25.36449,NA,NA,NA
"771","Nepal","NPL",2011,25.36449,NA,NA,NA
"772","Nepal","NPL",2012,25.36449,NA,NA,NA
"773","Nepal","NPL",2013,25.36449,NA,NA,NA
"774","Nepal","NPL",2015,NA,7,17,31
"775","Netherlands","NLD",2010,11.0584,NA,NA,NA
"776","Netherlands","NLD",2011,11.07948,NA,NA,NA
"777","Netherlands","NLD",2012,11.09727,NA,NA,NA
"778","Netherlands","NLD",2013,11.13157,NA,NA,NA
"779","Netherlands","NLD",2015,NA,15,3,3
"780","New Caledonia","NCL",2010,45.89716,NA,NA,NA
"781","New Caledonia","NCL",2011,45.89716,NA,NA,NA
"782","New Caledonia","NCL",2012,45.89716,NA,NA,NA
"783","New Caledonia","NCL",2013,45.89716,NA,NA,NA
"784","New Caledonia","NCL",2015,NA,31,286,9
"785","New Zealand","NZL",2010,38.55152,NA,NA,NA
"786","New Zealand","NZL",2011,38.55228,NA,NA,NA
"787","New Zealand","NZL",2012,38.55304,NA,NA,NA
"788","New Zealand","NZL",2013,38.5538,NA,NA,NA
"789","New Zealand","NZL",2015,NA,35,23,9
"790","Nicaragua","NIC",2010,25.87668,NA,NA,NA
"791","Nicaragua","NIC",2011,25.87668,NA,NA,NA
"792","Nicaragua","NIC",2012,25.87668,NA,NA,NA
"793","Nicaragua","NIC",2013,25.87668,NA,NA,NA
"794","Nicaragua","NIC",2015,NA,38,44,7
"795","Niger","NER",2010,0.9505013,NA,NA,NA
"796","Niger","NER",2011,0.9407121,NA,NA,NA
"797","Niger","NER",2012,0.9309229,NA,NA,NA
"798","Niger","NER",2013,0.9211337,NA,NA,NA
"799","Niger","NER",2015,NA,4,3,12
"800","Nigeria","NGA",2010,9.926765,NA,NA,NA
"801","Nigeria","NGA",2011,9.477036,NA,NA,NA
"802","Nigeria","NGA",2012,9.027307,NA,NA,NA
"803","Nigeria","NGA",2013,8.577577,NA,NA,NA
"804","Nigeria","NGA",2015,NA,71,198,29
"805","North America","NAC",2010,35.96424,NA,NA,NA
"806","North America","NAC",2011,35.97676,NA,NA,NA
"807","North America","NAC",2012,35.98928,NA,NA,NA
"808","North America","NAC",2013,36.0018,NA,NA,NA
"809","North America","NAC",2015,NA,313,398,50
"810","Northern Mariana Islands","MNP",2010,65.91304,NA,NA,NA
"811","Northern Mariana Islands","MNP",2011,65.54348,NA,NA,NA
"812","Northern Mariana Islands","MNP",2012,65.19565,NA,NA,NA
"813","Northern Mariana Islands","MNP",2013,64.84783,NA,NA,NA
"814","Northern Mariana Islands","MNP",2015,NA,14,5,4
"815","Norway","NOR",2010,33.13392,NA,NA,NA
"816","Norway","NOR",2011,33.1394,NA,NA,NA
"817","Norway","NOR",2012,33.14488,NA,NA,NA
"818","Norway","NOR",2013,33.15035,NA,NA,NA
"819","Norway","NOR",2015,NA,23,14,7
"820","OECD members","OED",2010,31.13785,NA,NA,NA
"821","OECD members","OED",2011,31.1709,NA,NA,NA
"822","OECD members","OED",2012,31.20611,NA,NA,NA
"823","OECD members","OED",2013,31.23892,NA,NA,NA
"824","OECD members","OED",2015,NA,1517,1757,410
"825","Oman","OMN",2010,0.006462036,NA,NA,NA
"826","Oman","OMN",2011,0.006462036,NA,NA,NA
"827","Oman","OMN",2012,0.006462036,NA,NA,NA
"828","Oman","OMN",2013,0.006462036,NA,NA,NA
"829","Oman","OMN",2015,NA,27,6,9
"830","Other small states","OSS",2010,26.82379,NA,NA,NA
"831","Other small states","OSS",2011,26.82837,NA,NA,NA
"832","Other small states","OSS",2012,26.83296,NA,NA,NA
"833","Other small states","OSS",2013,26.83762,NA,NA,NA
"834","Other small states","OSS",2015,NA,407,517,166
"835","Pacific island small states","PSS",2010,61.64101,NA,NA,NA
"836","Pacific island small states","PSS",2011,61.62995,NA,NA,NA
"837","Pacific island small states","PSS",2012,61.61873,NA,NA,NA
"838","Pacific island small states","PSS",2013,61.60767,NA,NA,NA
"839","Pacific island small states","PSS",2015,NA,150,106,50
"840","Pakistan","PAK",2010,2.188408,NA,NA,NA
"841","Pakistan","PAK",2011,2.132628,NA,NA,NA
"842","Pakistan","PAK",2012,2.076847,NA,NA,NA
"843","Pakistan","PAK",2013,2.021067,NA,NA,NA
"844","Pakistan","PAK",2015,NA,36,12,24
"845","Palau","PLW",2010,87.6087,NA,NA,NA
"846","Palau","PLW",2011,87.6087,NA,NA,NA
"847","Palau","PLW",2012,87.6087,NA,NA,NA
"848","Palau","PLW",2013,87.6087,NA,NA,NA
"849","Palau","PLW",2015,NA,16,4,4
"850","Panama","PAN",2010,63.20958,NA,NA,NA
"851","Panama","PAN",2011,62.98897,NA,NA,NA
"852","Panama","PAN",2012,62.76836,NA,NA,NA
"853","Panama","PAN",2013,62.54775,NA,NA,NA
"854","Panama","PAN",2015,NA,53,203,16
"855","Papua New Guinea","PNG",2010,74.13549,NA,NA,NA
"856","Papua New Guinea","PNG",2011,74.12931,NA,NA,NA
"857","Papua New Guinea","PNG",2012,74.12313,NA,NA,NA
"858","Papua New Guinea","PNG",2013,74.11695,NA,NA,NA
"859","Papua New Guinea","PNG",2015,NA,50,151,39
"860","Paraguay","PRY",2010,42.66298,NA,NA,NA
"861","Paraguay","PRY",2011,41.84395,NA,NA,NA
"862","Paraguay","PRY",2012,41.02492,NA,NA,NA
"863","Paraguay","PRY",2013,40.20589,NA,NA,NA
"864","Paraguay","PRY",2015,NA,0,19,10
"865","Peru","PER",2010,58.44609,NA,NA,NA
"866","Peru","PER",2011,58.31516,NA,NA,NA
"867","Peru","PER",2012,58.18422,NA,NA,NA
"868","Peru","PER",2013,58.05328,NA,NA,NA
"869","Peru","PER",2015,NA,22,318,55
"870","Philippines","PHL",2010,22.93993,NA,NA,NA
"871","Philippines","PHL",2011,23.74484,NA,NA,NA
"872","Philippines","PHL",2012,24.54975,NA,NA,NA
"873","Philippines","PHL",2013,25.35466,NA,NA,NA
"874","Philippines","PHL",2015,NA,77,239,39
"875","Poland","POL",2010,30.45906,NA,NA,NA
"876","Poland","POL",2011,30.53326,NA,NA,NA
"877","Poland","POL",2012,30.60349,NA,NA,NA
"878","Poland","POL",2013,30.67372,NA,NA,NA
"879","Poland","POL",2015,NA,8,13,4
"880","Portugal","PRT",2010,35.36412,NA,NA,NA
"881","Portugal","PRT",2011,35.23965,NA,NA,NA
"882","Portugal","PRT",2012,35.11519,NA,NA,NA
"883","Portugal","PRT",2013,34.9869,NA,NA,NA
"884","Portugal","PRT",2015,NA,62,82,12
"885","Puerto Rico","PRI",2010,54.04848,NA,NA,NA
"886","Puerto Rico","PRI",2011,54.42165,NA,NA,NA
"887","Puerto Rico","PRI",2012,54.79481,NA,NA,NA
"888","Puerto Rico","PRI",2013,55.16685,NA,NA,NA
"889","Puerto Rico","PRI",2015,NA,30,57,3
"890","Qatar","QAT",2010,0,NA,NA,NA
"891","Qatar","QAT",2011,0,NA,NA,NA
"892","Qatar","QAT",2012,0,NA,NA,NA
"893","Qatar","QAT",2013,0,NA,NA,NA
"894","Qatar","QAT",2015,NA,12,0,2
"895","Romania","ROM",2010,28.31993,NA,NA,NA
"896","Romania","ROM",2011,28.60581,NA,NA,NA
"897","Romania","ROM",2012,28.92531,NA,NA,NA
"898","Romania","ROM",2013,29.22488,NA,NA,NA
"899","Romania","ROM",2015,NA,22,5,7
"900","Russian Federation","RUS",2010,49.77359,NA,NA,NA
"901","Russian Federation","RUS",2011,49.77108,NA,NA,NA
"902","Russian Federation","RUS",2012,49.76858,NA,NA,NA
"903","Russian Federation","RUS",2013,49.76607,NA,NA,NA
"904","Russian Federation","RUS",2015,NA,40,59,29
"905","Rwanda","RWA",2010,18.07864,NA,NA,NA
"906","Rwanda","RWA",2011,18.35428,NA,NA,NA
"907","Rwanda","RWA",2012,18.62991,NA,NA,NA
"908","Rwanda","RWA",2013,18.90555,NA,NA,NA
"909","Rwanda","RWA",2015,NA,9,8,23
"910","Samoa","WSM",2010,60.42403,NA,NA,NA
"911","Samoa","WSM",2011,60.42403,NA,NA,NA
"912","Samoa","WSM",2012,60.42403,NA,NA,NA
"913","Samoa","WSM",2013,60.42403,NA,NA,NA
"914","Samoa","WSM",2015,NA,14,2,2
"915","San Marino","SMR",2010,0,NA,NA,NA
"916","San Marino","SMR",2011,0,NA,NA,NA
"917","San Marino","SMR",2012,0,NA,NA,NA
"918","San Marino","SMR",2013,0,NA,NA,NA
"919","San Marino","SMR",2015,NA,0,0,0
"920","Sao Tome and Principe","STP",2010,55.83333,NA,NA,NA
"921","Sao Tome and Principe","STP",2011,55.83333,NA,NA,NA
"922","Sao Tome and Principe","STP",2012,55.83333,NA,NA,NA
"923","Sao Tome and Principe","STP",2013,55.83333,NA,NA,NA
"924","Sao Tome and Principe","STP",2015,NA,25,38,5
"925","Saudi Arabia","SAU",2010,0.4544841,NA,NA,NA
"926","Saudi Arabia","SAU",2011,0.4544841,NA,NA,NA
"927","Saudi Arabia","SAU",2012,0.4544841,NA,NA,NA
"928","Saudi Arabia","SAU",2013,0.4544841,NA,NA,NA
"929","Saudi Arabia","SAU",2015,NA,31,3,9
"930","Senegal","SEN",2010,44.00873,NA,NA,NA
"931","Senegal","SEN",2011,43.80097,NA,NA,NA
"932","Senegal","SEN",2012,43.59321,NA,NA,NA
"933","Senegal","SEN",2013,43.38545,NA,NA,NA
"934","Senegal","SEN",2015,NA,54,11,17
"935","Serbia","SRB",2010,31.01989,NA,NA,NA
